date,slow_count,fast_count,avg(avg(sog)),fast,fast_vol,slow,slow_vol
2015-02-24,146,461,7.134439553050652,479.62490840148087,40.90397140808013,160.2775801685942,16.114940157677072
2015-02-25,128,473,7.3810483268381715,480.60877033268565,40.906758665242,149.74675948568702,15.852144658984491
2015-02-26,140,470,7.639538570223429,496.5193359513821,40.87178296612373,157.1540772732182,16.099786986689
2015-02-27,117,510,7.746056896553137,484.204835913294,41.23007857661202,139.29481334005408,16.043882814573394
2015-02-28,135,481,7.528323928926194,,,,
2015-03-01,142,453,7.238004232147558,,,,
2015-03-02,139,469,7.192416661814875,469.56440570271167,41.104975248216014,154.13864017981285,16.548292276921362
2015-03-03,133,488,7.361409196219131,491.097976280412,41.15633001572583,154.0443462417601,16.265379863524732
2015-03-04,122,485,7.483641049112459,488.6105792996808,41.239562643873406,147.34746423108749,16.368769305071474
2015-03-05,124,482,7.619610377789272,497.0484543452732,41.29471722332908,148.5864059658193,16.665794892261587
2015-03-06,129,504,7.766323035897898,509.33275944860253,41.5616006172252,149.58782132362563,16.850042755943058
2015-03-07,143,530,7.490382508599643,,,,
2015-03-08,230,185,5.232505310939562,,,,
2015-04-02,196,360,6.638530005778984,344.48106347867963,42.214751381679925,155.50608054897106,16.829802598909893
2015-04-03,143,525,7.5850054483124865,505.66978662420416,42.66754127803028,152.02987021219218,17.680115834608145
2015-04-04,143,517,7.714648533278633,,,,
2015-04-05,164,467,7.3005887694663665,,,,
2015-04-06,157,466,7.306728854010345,472.84250875487487,42.817478634426585,151.9764628983849,17.652389170480497
2015-04-07,153,476,7.312763226647588,492.6407042823637,42.60531186197953,161.77300133565788,17.529387868360452
2015-04-08,137,504,7.24852387597062,435.0567364398873,42.72832200775417,150.0957131922737,17.496032459146914
2015-04-09,210,382,6.51510219464434,461.8353944812934,43.558966682555635,205.95949968856814,17.6227379400323
2015-04-10,173,443,7.222535775989273,512.0678040149212,43.4230883752773,176.13002067484317,18.76824028976216
2015-04-11,144,532,7.589725370238857,,,,
2015-04-12,163,507,7.384078101493663,,,,
2015-04-13,178,531,7.618380539721206,494.4522033223624,44.101492208337774,150.2867365675425,18.794890766035266
2015-04-14,162,529,7.431287232945106,500.53362247486274,44.512541972298635,161.80978105312803,18.985438864306886
2015-04-15,162,518,7.665996964272663,491.33587470855,44.88822209766304,162.90581549481595,18.957826400649072
2015-04-16,177,503,7.410037097844657,500.3325870332554,44.95602577295337,172.67498378689913,18.95896981448372
2015-04-17,147,525,7.590360607038767,519.2776352702725,45.43246629317574,152.1651516847524,19.192062586787628
2015-04-18,149,560,7.7922109414045115,,,,
2015-04-19,190,509,7.365601982021666,,,,
2015-04-20,192,514,7.10846292625783,490.35136642071006,43.14228899685402,150.27584099979828,19.12642797372908
2015-04-21,168,519,7.126739096412157,498.7164014291593,38.57706463301741,165.29977653903563,19.186826490050322
2015-04-22,173,514,7.2999546429461315,437.5742237943372,38.792380383210094,168.32716437685238,18.68896698717035
2015-04-23,233,395,6.614807655632893,440.3019053089083,39.82270514914364,215.35550529175,18.763283984101925
2015-04-24,205,401,6.685420337811201,508.1310677692803,40.34478266803535,198.21966394847718,20.623474188085122
2015-04-25,174,522,7.1729400245873265,,,,
2015-04-26,182,515,7.314622996235688,,,,
2015-04-27,185,497,6.9619335454109645,501.95749623109367,36.84917134862872,169.2778321555816,21.188291459561512
2015-04-28,270,254,5.3858455122902456,352.2923541819107,43.9225381350042,252.55771161966896,20.66350137179269
2015-05-13,250,205,5.502033722843481,441.2891442869881,52.212570104696894,242.87762638056344,24.15016120296081
2015-06-17,214,371,6.860600215768652,516.4430661316015,52.954858860084585,208.6210346419704,25.956825593099193
2015-06-18,156,526,7.928870502704238,517.575149112743,53.44707624616733,159.08707053208417,26.53934675031744
2015-06-19,158,540,7.6601629422079665,505.2682285228432,53.82295141871578,159.08579111985011,26.599788875665244
2015-06-20,163,532,7.534611236011321,,,,
2015-06-21,188,501,7.324693031089032,,,,
2015-06-22,178,529,7.516477016664614,493.7104508276134,54.25160065104817,164.549193298602,26.481057942739
2015-06-23,164,527,7.505982367678162,525.3783415058081,54.60814850134074,166.7667858812007,26.517552477797913
2015-06-24,157,557,7.907906290908012,531.7931379879926,55.47424154699917,161.38885857712634,26.457856499027894
2015-06-25,153,569,7.894771839630556,525.8841865896845,56.46357707297868,157.2616233873798,26.445618661535395
2015-06-26,156,561,8.106386072124907,526.7757915741626,57.26612019569885,158.4822694251594,26.289633218587728
2015-06-27,151,569,7.883074441443933,,,,
2015-06-28,171,550,7.884807081879535,,,,
2015-06-29,156,574,8.023329228439875,518.268613572828,58.16121622288487,154.75511568695268,26.1951645433818
2015-06-30,165,577,8.290286652348605,537.4474928277958,59.22711036336622,162.84218346867706,26.147070433454648
2015-07-01,172,590,7.854806004865479,522.0529411380469,60.51959314638479,166.35716240224374,26.114526207899367
2015-07-02,182,554,7.341171497180912,523.3899568859921,61.0127782523527,175.57033748437343,26.069196798867804
2015-07-03,170,555,7.509679159678376,516.7628416516387,61.60147021140295,168.03412615562038,26.137261690821468
2015-07-04,179,538,7.545056863663618,,,,
2015-07-05,245,408,6.619402177425977,,,,
2015-09-04,166,425,7.502618738556317,454.03876413549904,61.61833538036407,175.6696525282267,26.106775781434273
2015-09-05,160,501,7.68916932409175,,,,
2015-09-06,188,510,7.483072851923483,,,,
2015-09-07,183,533,7.464680869201535,512.1306323817146,61.5155578783808,172.6878148813704,25.895738209320378
2015-09-08,184,519,7.7317825492925545,513.7202417598759,61.521342839597814,185.8639689774337,25.990822598980145
